Name,Groups
 Lyceum (Athens),Place
Abdera,Place
Academy of Plato (Athens),Place
Achileis,Place
Adramyttium,Place
Aegina,Place
Aegospotami,Place
Aenus,Place
Aeolis,Place
Aethiopia,Place
Aetna M.,Place
Agrigentum,Place
Akkon,Place
Alexandria at Egypt,Place
Alpheios river,Place
Amastris,Place
Ambracia,Place
Amphiareion,Place
Amphipolis,Place
Ancient Egypt (region),Place
Apollonia Pontica,Place
Apulia,Place
Arabia,Place
Arcadia,Place
Areiopagos (Athens),Place
Argos,Place
Arkadia region,Place
Asia,Place
Aspendos/Primoupolis,Place
Assos,Place
Astypalaea,Place
Atarneus,Place
Athenae,Place
Attica,Place
Babylon,Place
Bargylia,Place
Bithynia,Place
Boeotia,Place
Borboros,Place
Borysthenes (Olbia),Place
Bosphorus,Place
Bosporus,Place
Byzantium,Place
Calauria,Place
Callatia,Place
Callatis,Place
Cappadocia,Place
Caria,Place
Carthago,Place
Carystus,Place
Ceos,Place
Cephisus (River),Place
Chalcedon,Place
Chalcidice,Place
Chalcis,Place
Chaldaea,Place
Chenai,Place
Chios (island),Place
Cilicia,Place
Clazomenae,Place
Cnidos,Place
Cnidus,Place
Cnossos,Place
Colchis,Place
Colonus,Place
Colophon,Place
Corcyra,Place
Corcyrian Cave,Place
Corinth,Place
Cranon,Place
Creta,Place
Croto,Place
Crotone,Place
Cyme,Place
Cyprus,Place
Cyrenaica,Place
Cyrene,Place
Cythera,Place
Cyzicus,Place
Dardanus,Place
Delium,Place
Delos,Place
Delphi,Place
Demetrias (Magnesia),Place
Didyma/Branchidai/Ioustinianopolis,Place
Dionysia,Place
Doris,Place
Elea,Place
Eleusis in Attica,Place
Elis,Place
Ephesus,Place
Epidaurus,Place
Eresus,Place
Eretria,Place
Erythrae,Place
Etis,Place
Euboea,Place
Europe region,Place
Gaul,Place
Gela,Place
Hades (Place),Place
Halicarnassus,Place
Halys,Place
Helice,Place
Heliopolis,Place
Hellas,Place
Hellespont,Place
Heraclea,Place
Hermion(e),Place
Hyba,Place
Hybadai,Place
Hyele,Place
Iasos,Place
Ida,Place
Ilissus,Place
Ilium,Place
Ilium/Troia,Place
India,Place
Ionia region (Asia Minor),Place
Isthmus,Place
Italy,Place
Kassandreia,Place
Katane,Place
Kition (Cyprus),Place
Kos,Place
Lacedaemon,Place
Lacedaemon/Laconia,Place
Lamia,Place
Lampsacus,Place
Laodicea,Place
Larissa (Thessaly),Place
Lebedos/Ptolemais,Place
Lemnos,Place
Lenaea,Place
Leontini,Place
Lepreum,Place
Leros,Place
Lesbos,Place
Libya,Place
Liguria,Place
Lindus,Place
Lipara,Place
Locris,Place
Lucania,Place
Lycus,Place
Lydia,Place
Lysimachia,Place
Macedon,Place
Macedonia,Place
Magnesia,Place
Mantinea,Place
Marathon,Place
Maronea,Place
Maroneia,Place
Media,Place
Megalopolis,Place
Megara (Attica),Place
Megara Hyblaea,Place
Melos,Place
Memphis (Egypt),Place
Mende,Place
Messene,Place
Messenia,Place
Metapontum,Place
Miletus,Place
Mitylene,Place
Mt. Oita,Place
Munichia,Place
Myndus,Place
Myra,Place
Myrlea,Place
Nemea,Place
Nestos (river),Place
Nicaea,Place
Nicomedia,Place
Nile,Place
Odrysians tribe,Place
Olympia,Place
Olympian Zeus sanctuary (Eleia),Place
Olynthus,Place
Opus,Place
Orchomenus,Place
Oropus,Place
Paeonia,Place
Paros,Place
Peiraeus,Place
Peloponnesus,Place
Perga,Place
Pergamum,Place
Perinthus,Place
Persia,Place
Phalerum,Place
Pharsalus,Place
Phlius,Place
Phocaea,Place
Phocaean,Place
Phoenicia,Place
Phrygia region,Place
Phthia,Place
Piraeus,Place
Pisa,Place
Pitane,Place
Pitthos,Place
Pontus,Place
Potidaea,Place
Priene,Place
Propontis,Place
Prytaneum,Place
Ptolemais/Barkes Limen,Place
Red Sea,Place
Rhegium,Place
Rhodos (island),Place
Rome,Place
Salamis,Place
Salento,Place
Samos,Place
Samothrace,Place
Sardis,Place
Scepsis,Place
Seleucia,Place
Selinus,Place
Selinus (river in Elis),Place
Sicily,Place
Sicyon,Place
Sidon,Place
Sinope,Place
Skillous,Place
Skythai,Place
Smyrna,Place
Soli,Place
Sparta,Place
Sporades,Place
Stagira,Place
Stratonicea,Place
Styra,Place
Susa,Place
Syracuse,Place
Syria,Place
Syros,Place
Tanagra,Place
Taras/Tarentum/Neptunia,Place
Tarsus,Place
Temnus,Place
Teos,Place
Teos (Ionia),Place
Thasos,Place
Thebes,Place
Thrace,Place
Thurii,Place
Tiberias,Place
Tithorea,Place
Troas,Place
Troezen,Place
Tyre,Place
Tyrrhenian Sea,Place
Zancle,Place
A Magician,Male
